stoke,chelsea
aston-villa,man-city
arsenal,spurs
liverpool,crystal-palace
watford,man-utd
chelsea,norwich
everton,aston-villa
newcastle,leicester
southampton,stoke
swansea,bournemouth
west-brom,arsenal
man-city,liverpool
spurs,west-ham
crystal-palace,sunderland
aston-villa,watford
bournemouth,everton
crystal-palace,newcastle
man-city,southampton
sunderland,stoke
leicester,man-utd
spurs,chelsea
west-ham,west-brom
liverpool,swansea
norwich,arsenal
stoke,man-city
arsenal,sunderland
man-utd,west-ham
southampton,aston-villa
swansea,leicester
watford,norwich
west-brom,spurs
chelsea,bournemouth
newcastle,liverpool
everton,crystal-palace
norwich,everton
crystal-palace,southampton
man-city,swansea
sunderland,watford
west-ham,stoke
bournemouth,man-utd
aston-villa,arsenal
liverpool,west-brom
spurs,newcastle
leicester,chelsea
chelsea,sunderland
everton,leicester
man-utd,norwich
southampton,spurs
stoke,crystal-palace
west-brom,bournemouth
newcastle,aston-villa
watford,liverpool
swansea,west-ham
arsenal,man-city
stoke,man-utd
aston-villa,west-ham
bournemouth,crystal-palace
chelsea,watford
liverpool,leicester
man-city,sunderland
swansea,west-brom
spurs,norwich
newcastle,everton
southampton,arsenal
crystal-palace,swansea
everton,stoke
norwich,aston-villa
watford,spurs
west-brom,newcastle
arsenal,bournemouth
man-utd,chelsea
west-ham,southampton
leicester,man-city
sunderland,liverpool
west-ham,liverpool
arsenal,newcastle
leicester,bournemouth
man-utd,swansea
norwich,southampton
sunderland,aston-villa
west-brom,stoke
watford,man-city
crystal-palace,chelsea
everton,spurs
aston-villa,crystal-palace
bournemouth,west-ham
newcastle,man-utd
chelsea,west-brom
man-city,everton
southampton,watford
stoke,norwich
swansea,sunderland
liverpool,arsenal
spurs,leicester
spurs,sunderland
bournemouth,norwich
chelsea,everton
man-city,crystal-palace
newcastle,west-ham
southampton,west-brom
aston-villa,leicester
liverpool,man-utd
stoke,arsenal
swansea,watford
norwich,liverpool
crystal-palace,spurs
leicester,stoke
man-utd,southampton
sunderland,bournemouth
watford,newcastle
west-brom,aston-villa
west-ham,man-city
everton,swansea
arsenal,chelsea
arsenal,southampton
leicester,liverpool
norwich,spurs
sunderland,man-city
west-ham,aston-villa
crystal-palace,bournemouth
man-utd,stoke
west-brom,swansea
everton,newcastle
watford,chelsea
man-city,leicester
aston-villa,norwich
liverpool,sunderland
newcastle,west-brom
stoke,everton
swansea,crystal-palace
spurs,watford
southampton,west-ham
bournemouth,arsenal
chelsea,man-utd
sunderland,man-utd
bournemouth,stoke
crystal-palace,watford
everton,west-brom
norwich,west-ham
swansea,southampton
chelsea,newcastle
arsenal,leicester
aston-villa,liverpool
man-city,spurs
west-ham,sunderland
leicester,norwich
southampton,chelsea
stoke,aston-villa
watford,bournemouth
west-brom,crystal-palace
man-utd,arsenal
spurs,swansea
aston-villa,everton
bournemouth,southampton
leicester,west-brom
norwich,chelsea
sunderland,crystal-palace
arsenal,swansea
stoke,newcastle
west-ham,spurs
liverpool,man-city
man-utd,watford
spurs,arsenal
chelsea,stoke
everton,west-ham
man-city,aston-villa
newcastle,bournemouth
southampton,sunderland
swansea,norwich
watford,leicester
crystal-palace,liverpool
west-brom,man-utd
norwich,man-city
bournemouth,swansea
stoke,southampton
aston-villa,spurs
leicester,newcastle
everton,arsenal
chelsea,west-ham
crystal-palace,leicester
watford,stoke
west-brom,norwich
swansea,aston-villa
newcastle,sunderland
southampton,liverpool
man-city,man-utd
spurs,bournemouth
aston-villa,chelsea
arsenal,watford
bournemouth,man-city
norwich,newcastle
stoke,swansea
sunderland,west-brom
west-ham,crystal-palace
liverpool,spurs
leicester,southampton
man-utd,everton
